Date (TU),Discharge
2022-04-12T02:00:00.000Z,94.2
2022-04-12T03:00:00.000Z,94
2022-04-12T04:00:00.000Z,93.8
2022-04-12T05:00:00.000Z,93.6
2022-04-12T06:00:00.000Z,89.8
2022-04-12T07:00:00.000Z,76.8
2022-04-12T08:00:00.000Z,67.1
2022-04-12T09:00:00.000Z,62.5
2022-04-12T10:00:00.000Z,55.8
2022-04-12T11:00:00.000Z,53.2
2022-04-12T12:00:00.000Z,51.8
2022-04-12T13:00:00.000Z,50.9
2022-04-12T14:00:00.000Z,50.1
2022-04-12T15:00:00.000Z,50.9
2022-04-12T16:00:00.000Z,50.9
2022-04-12T17:00:00.000Z,50.8
2022-04-12T18:00:00.000Z,50.7
2022-04-12T19:00:00.000Z,50.6
2022-04-12T20:00:00.000Z,50.5
2022-04-12T21:00:00.000Z,50.4
2022-04-12T22:00:00.000Z,50.3
2022-04-12T23:00:00.000Z,50.2
2022-04-13T00:00:00.000Z,50
2022-04-13T01:00:00.000Z,49.9
2022-04-13T02:00:00.000Z,49.8
2022-04-13T03:00:00.000Z,49.7
2022-04-13T04:00:00.000Z,49.6
2022-04-13T05:00:00.000Z,49.5
2022-04-13T06:00:00.000Z,49.4
2022-04-13T07:00:00.000Z,49.5
2022-04-13T08:00:00.000Z,49.5
2022-04-13T09:00:00.000Z,49.5
2022-04-13T10:00:00.000Z,49.5
2022-04-13T11:00:00.000Z,49.7
2022-04-13T12:00:00.000Z,50.1
2022-04-13T13:00:00.000Z,49.2
2022-04-13T14:00:00.000Z,47.5
2022-04-13T15:00:00.000Z,50
2022-04-13T16:00:00.000Z,50
2022-04-13T17:00:00.000Z,50.5
2022-04-13T18:00:00.000Z,49.8
2022-04-13T19:00:00.000Z,51.1
2022-04-13T20:00:00.000Z,52.4
2022-04-13T21:00:00.000Z,52.6
2022-04-13T22:00:00.000Z,52.6
2022-04-13T23:00:00.000Z,52.6
2022-04-14T00:00:00.000Z,52.5
2022-04-14T01:00:00.000Z,52.5
2022-04-14T02:00:00.000Z,52.5
2022-04-14T03:00:00.000Z,52.5
2022-04-14T04:00:00.000Z,52.5
