Datetime,Discharge,Corresponding_known_discharge
1/8/2025 16:00,15.65308222,15.3
1/8/2025 16:10,19.6786905,18.8
1/8/2025 16:20,21.93299993,18.8
1/8/2025 16:30,25.11392495,29.2
1/8/2025 16:40,29.05330921,29.2
1/8/2025 16:50,31.07820813,29.2
1/8/2025 17:00,29.25814003,29.2
1/8/2025 17:10,20.33102788,18.8
1/8/2025 17:20,10.62399801,10.6
1/8/2025 17:30,8.560083706,9.0
1/8/2025 17:40,9.762928283,9.0
1/8/2025 17:50,12.83851174,13.4
1/8/2025 18:00,16.35340853,15.3
1/8/2025 18:10,15.69521884,15.3
1/8/2025 18:20,11.98719586,12.0
1/8/2025 18:30,11.94427892,12.0
1/8/2025 18:40,12.7998865,13.4
1/8/2025 18:50,13.09445272,13.4
1/8/2025 19:00,12.75931049,13.4
1/8/2025 19:10,13.52050082,13.4
1/8/2025 19:20,15.26097751,15.3
1/8/2025 19:30,13.82950273,13.4
1/8/2025 19:40,11.58533731,12.0
1/8/2025 19:50,9.721181812,9.0
1/8/2025 20:00,8.574519401,9.0
1/8/2025 20:10,9.605696247,9.0
1/8/2025 20:20,14.31446407,13.4
1/8/2025 20:30,14.7038377,15.3
1/8/2025 20:40,12.88025821,13.4
1/8/2025 20:50,10.57717954,10.6
1/8/2025 21:00,8.21635809,9.0
1/8/2025 21:10,7.777044761,7.4
1/8/2025 21:20,10.94587501,10.6
1/8/2025 21:30,11.46751082,12.0
1/8/2025 21:40,10.66457402,10.6
1/8/2025 21:50,8.638114492,9.0
1/8/2025 22:00,6.320209974,5.5
1/8/2025 22:10,6.710363907,7.4
1/8/2025 22:20,12.21348514,12.0
1/8/2025 22:30,12.16276513,12.0
1/8/2025 22:40,9.172625381,9.0
1/8/2025 22:50,5.352628219,5.5
1/8/2025 23:00,3.094807406,3.0
1/8/2025 23:10,5.008512449,5.5
1/8/2025 23:20,13.09172164,13.4
1/8/2025 23:30,15.65386252,15.3
1/8/2025 23:40,13.78892672,13.4
1/8/2025 23:50,10.45662198,10.6
1/9/2025 0:00,7.72827552,7.4
1/9/2025 0:10,10.32084841,10.6
1/9/2025 0:20,18.09739661,18.8
1/9/2025 0:30,17.58824573,18.8
1/9/2025 0:40,15.17358303,15.3
1/9/2025 0:50,13.51308789,13.4
1/9/2025 1:00,11.68716748,12.0
1/9/2025 1:10,9.1546783,9.0
1/9/2025 1:20,9.428956516,9.0
1/9/2025 1:30,9.062601972,9.0
1/9/2025 1:40,7.376746826,7.4
1/9/2025 1:50,5.910548344,5.5
1/9/2025 2:00,4.932432432,5.5
1/9/2025 2:10,5.395545151,5.5
1/9/2025 2:20,9.159750301,9.0
1/9/2025 2:30,10.21784777,10.6
1/9/2025 2:40,9.198375541,9.0
1/9/2025 2:50,7.496524083,7.4
1/9/2025 3:00,4.842306874,4.2
1/9/2025 3:10,2.929811147,3.0
1/9/2025 3:20,2.99215767,3.0
1/9/2025 3:30,2.866092216,3.0
